id,raw_no,category,year,event_name,period,start_date,end_date,venue,host,organizer,phone,fax,email,homepage
17,17,전시회,2025,2025 고양 가구엑스포,2025.03.13~2025.03.16,2025-03-13,2025-03-16,"전시홀 9A,전시홀 9B",주식회사 비스컨애드,가구엑스포,031-926-3552~,02-6919-2593,web@visconad.com,koreaxpo.com
18,18,전시회,2025,2025 국제물산업박람회(WATER KOREA),2025.03.19~2025.03.21,2025-03-19,2025-03-21,"전시홀 7,전시홀 8",한국상하수도협회,한국상하수도협회,02-3156-7741~,--,lvhyolee@kwwa.or.kr,www.waterkorea.kr
19,19,전시회,2025,제24회 세계 보안 엑스포 & 제13회 전자정부 정보보호 솔루션 페어,2025.03.19~2025.03.21,2025-03-19,2025-03-21,"전시홀 3,전시홀 4,전시홀 5",SECON - 과학기술정보통신부 / eGISEC - 행정안전부,"SECON eGISEC 조직위원회, 인포마마켓비엔㈜, 인포마마켓한국㈜, ㈜더비엔",02-719-6933~4,--,secon@seconexpo.com,https://www.seconexpo.com
20,20,이벤트,2025,THE GLOW 2025,2025.03.29~2025.03.30,2025-03-29,2025-03-30,"전시홀 7,전시홀 8A,전시홀 9",주식회사 원더로크,주식회사 원더로크,00-0000-0000~,--,festival@wanderloch.com,https://theglowseoul.com/
21,21,전시회,2025,2025서울모빌리티쇼,2025.04.03~2025.04.13,2025-04-03,2025-04-13,"전시홀 1,전시홀 2,전시홀 3,전시홀 4,전시홀 5",서울모빌리티쇼조직위원회,"한국자동차모빌리티산업협회, 한국자동차산업협동조합",-1670-1995~,--,sms@kama.or.kr,www.mobilityshow.or.kr
22,22,전시회,2025,2025 경기도 기후테크 전시회,2025.04.15~2025.04.16,2025-04-15,2025-04-16,전시홀 6C,경기도,경기환경에너지진흥원 / 경기창조경제혁신센터,031-985-0304~,--,leesr@ggeea.or.kr,https://www.2025climatetech.com/fairDash.do
23,23,이벤트,2025,"아이묭 투어 2025 ""돌핀 아파트먼트"" in 서울 - 고양",2025.04.19~2025.04.20,2025-04-19,2025-04-20,전시홀 9A,"더 볼트 ",MPMG,02-322-0014~,--,live@thevault.co.kr,http://ticket.yes24.com/Special/53044
24,24,전시회,2025,제3회 국제콜드체인산업전,2025.04.22~2025.04.25,2025-04-22,2025-04-25,전시홀 3A,(사)한국식품콜드체인협회 / ㈜케이와이엑스포," ",02-780-7716~,02-780-7228,hwisu@kyex.co.kr,www.koreacoldchain.com
25,25,전시회,2025,제20회 국제제약&middot;바이오&middot;화장품기술전,2025.04.22~2025.04.25,2025-04-22,2025-04-25,전시홀 5,(주)경연전람," ",02-785-4926~,02-785-6117,yjkim@kyungyon.co.kr,www.cophex.com
26,26,전시회,2025,제17회 국제화학장치산업전,2025.04.22~2025.04.25,2025-04-22,2025-04-25,전시홀 4A,㈜케이와이엑스포 / ㈜경연전람 / 아이유뉴스㈜," ",02-785-4926~,02-785-6117,yjkim@kyungyon.co.kr,www.koreachem.org
27,27,전시회,2025,코리아팜 & 바이오 (제15회 국제의약품&bull;바이오산업전),2025.04.22~2025.04.25,2025-04-22,2025-04-25,전시홀 7A,㈜경연전람," ",02-780-7717~,02-785-6117,yepark@kyungyon.co.kr,https://www.koreapharm.org/kor/main.asp
28,28,전시회,2025,제10회 코스메틱 인사이드 코리아,2025.04.22~2025.04.25,2025-04-22,2025-04-25,전시홀 7B,(주)경연전람," ",02-785-4773~,02-785-6117,hylee@kyungyon.co.kr,https://www.cikorea.org/kor/main.asp
29,29,전시회,2025,코리아랩 (제19회 국제연구&bull;실험 및 첨단분석장비전),2025.04.22~2025.04.25,2025-04-22,2025-04-25,전시홀 8,"㈜경연전람, ㈜사이언스21"," ",02-785-4772~,02-785-6117,shin.kim@kyungyon.co.kr,https://www.korealab.org/kor/main.asp
30,30,전시회,2025,2025 ESG 지속가능 패키징 페어,2025.04.22~2025.04.25,2025-04-22,2025-04-25,전시홀 4B,㈜경연전람 / 월간포장," ",02-785-4771~,02-785-6117,choish@kyungyon.co.kr,www.esgpack.kr
31,31,전시회,2025,제 15회 국제물류산업대전,2025.04.22~2025.04.25,2025-04-22,2025-04-25,"전시홀 2,전시홀 3B",(사)한국통합물류협회 / ㈜케이와이엑스포,(사)한국통합물류협회 / ㈜케이와이엑스포,02-780-4996~,02-780-7228,sales@koreamat.org,www.koreamat.org
32,32,전시회,2025,2025 냥냥펀치 캣쇼 일산,2025.05.02~2025.05.04,2025-05-02,2025-05-04,전시홀 7B,(주)미래전람,(주)미래전람,02-6949-5433~,--,c-show@naver.com,www.cat-show.co.kr
33,33,이벤트,2025,힙합플레이야 페스티벌 2025,2025.05.03~2025.05.03,2025-05-03,2025-05-03,"전시홀 9,전시홀 10",주식회사 엠피엠지," ",02-322-0014~,--,juhwan@mpmg.co.kr,https://www.instagram.com/hiphopplayafestival/
34,34,전시회,2025,2025년 국군장병 취업박람회,2025.05.07~2025.05.08,2025-05-07,2025-05-08,전시홀 10,국방부,국방전직교육원,02-3431-8766~,--,hmlee94@moti.or.kr,https://www.motijobfair.com/
35,35,전시회,2025,2025 코베 베이비페어&유아교육전,2025.05.08~2025.05.11,2025-05-08,2025-05-11,전시홀 7,주식회사 메쎄이상,주식회사 메쎄이상,02-6121-6458~,--,cobe@esgroup.net,www.cobe.co.kr
36,36,전시회,2025,제68회 MBC건축박람회 외(통합명칭),2025.05.08~2025.05.11,2025-05-08,2025-05-11,"전시홀 3A,전시홀 4,전시홀 5",(주)동아전람,(주)동아전람,02-780-0366~,02-780-0368,dongaf@naver.com,www.dong-afairs.co.kr
37,37,전시회,2025,Shanghai Fair going to Korea - Trade Show 2025,2025.05.13~2025.05.14,2025-05-13,2025-05-14,"전시홀 6B,전시홀 6C","상하이시 공업경제연합회, 상하이 현대서비스산업 연합회, 상하이 공공외교협회",상하이의 돛 경제무역 순회전시회 조직위원회,--~,--,kongning@sailofshanghai.com,http://www.sailofshanghai.com/
38,38,전시회,2025,메가쇼 2025 시즌1,2025.05.15~2025.05.18,2025-05-15,2025-05-18,"전시홀 4,전시홀 5B",메가쇼,메가쇼,02-6677-3477~,02-6677-0477,megashow@megashow.co.kr,www.megashow.co.kr
39,39,전시회,2025,트래블쇼 & 한국축제박람회,2025.05.15~2025.05.18,2025-05-15,2025-05-18,전시홀 5A,메가쇼," ",02-6677-3477~,02-6677-0477,travelshow@megashow.co.kr,www.travelshow.co.kr
40,40,전시회,2025,2025 메가주 일산(상),2025.05.16~2025.05.18,2025-05-16,2025-05-18,"전시홀 7,전시홀 8",한국펫사료협회,메쎄이상,02-6121-6247~,02-6455-0953,pet.es@esgroup.net,https://megazoo.co.kr/
41,41,이벤트,2025,슈퍼팝 2025 코리아,2025.05.17~2025.05.18,2025-05-17,2025-05-18,"전시홀 1,전시홀 2",주식회사 메이드온," ",--~,--,info@superpopworld.com,https://www.superpopworld.com/
42,42,전시회,2025,25년 한국시니어클럽 노인일자리 박람회,2025.05.21~2025.05.21,2025-05-21,2025-05-21,전시홀 9B,한국시니어클럽협회," ",02-747-5508~,02-747-5507,suurf420@gmail.com,http://www.silverpower.or.kr/
43,43,전시회,2025,2025 플레이엑스포,2025.05.22~2025.05.25,2025-05-22,2025-05-25,"전시홀 3,전시홀 4,전시홀 5",경기도,"킨텍스, 경기콘텐츠진흥원",031-995-8733~,--,playx4@kintex.com,https://www.playx4.or.kr/
44,44,전시회,2025,2025여성발명왕EXPO,2025.05.22~2025.05.24,2025-05-22,2025-05-24,전시홀 10A,특허청,(사)한국여성발명협회,02-538-2710~,02-538-2714,kwia@inventor.or.kr,www.kiwie.or.kr
45,45,전시회,2025,2025 국제아웃도어캠핑&레포츠페스티벌,2025.05.23~2025.05.25,2025-05-23,2025-05-25,"전시홀 7,전시홀 8",주식회사 메쎄이상," ",02-6121-6388~,--,caf@esgroup.net,www.caf.co.kr
46,46,전시회,2025,2025 대한민국 고졸 인재 채용엑스포,2025.05.28~2025.05.29,2025-05-28,2025-05-29,전시홀 10B,한국경제신문," ",02-360-4521~,--,ljs@hankyung.com,www.gojobcon.kr
47,47,전시회,2025,2025 카페&베이커리페어 시즌1,2025.05.29~2025.06.01,2025-05-29,2025-06-01,전시홀 7A,(주)미래전람," ",02-2238-0346~7,02-2238-0348,cafe_bakery@naver.com,https://www.cafenbakeryfair.com
48,48,전시회,2025,2025 코리아 스피릿페스타,2025.05.29~2025.06.01,2025-05-29,2025-06-01,전시홀 7B,(주)미래전람," ",02-2238-0346~7,02-2238-0348,cafe_bakery@naver.com," "
49,49,전시회,2025,제21회 더골프쇼 KOREA 시즌2,2025.05.29~2025.06.01,2025-05-29,2025-06-01,전시홀 8A,제21회 JTBC GOLF &amp;times; 더골프쇼 코리아 시즌2," ",02-356-4309~,0505-356-4309,thegolfshow@naver.com,www.thegolfshow.co.kr
50,50,전시회,2025,2025 생활낚시박람회,2025.05.30~2025.06.01,2025-05-30,2025-06-01,전시홀 10A,(주)서울메쎄,(주)서울메쎄,070-5095-9915~,02-865-5877,info@fishing-korea.com,www.fishing-korea.com
51,51,전시회,2025,제50회 맘앤베이비엑스포,2025.06.05~2025.06.08,2025-06-05,2025-06-08,전시홀 10,㈜유아림," ",02-2236-2771~,070-8224-9006,ddakul@yuarim.com,www.momnbabyexpo.co.kr
52,52,전시회,2025,SEOUL FOOD 2025,2025.06.10~2025.06.13,2025-06-10,2025-06-13,"전시홀 1,전시홀 2,전시홀 3,전시홀 4,전시홀 5,전시홀 7,전시홀 8",대한무역투자진흥공사,킨텍스,031-995-8737~,--,seoulfood@kintex.com,https://seoulfood.kotra.biz
53,53,전시회,2025,제17회 고양가구박람회,2025.06.19~2025.06.22,2025-06-19,2025-06-22,"전시홀 7,전시홀 8",경기고양시 일산가구협동조합," ",031-976-9956~,031-976-1341,web@visconad.com,https://goyanggagufair.com
54,54,전시회,2025,국제광융합엑스포 2025,2025.06.25~2025.06.27,2025-06-25,2025-06-27,전시홀 7A,"산업통상자원부, (사)엘이디산업포럼","동반성장위원회, ㈜엑스포앤유",02-783-7979~,--,nalee@exponu.com,www.ledexpo.com
55,55,이벤트,2025,썸데이 플레로마 2025,2025.06.28~2025.06.28,2025-06-28,2025-06-28,전시홀 10A,㈜에스에이커뮤니케이션," ",02-761-2122~,--," ",https://www.instagram.com/somedayfestival/
56,56,전시회,2025,2025 코리아 카케어 페스티벌,2025.06.28~2025.06.29,2025-06-28,2025-06-29,"전시홀 6B,전시홀 6C",㈜올클리,㈜올클리,032-223-9350~9351,032-223-9348,allcleasales@gmail.com,https://purestar.co.kr/product/detail.html?product_no=404
57,57,전시회,2025,나노코리아 2025,2025.07.02~2025.07.04,2025-07-02,2025-07-04,"전시홀 1,전시홀 2","산업통상자원부, 과학기술정보통신부","나노융합산업연구조합, 나노기술연구협의회",031-548-2025~,--,ntrakys@nanokorea.net,https://nanokorea.or.kr/main/main.php
58,58,전시회,2025,2025년 제4회 킨텍스 캠핑페스타,2025.07.04~2025.07.06,2025-07-04,2025-07-06,전시홀 3,캠핑페스타 사무국,주식회사 전람윤,031-866-6745~,--,camfecamfe@naver.com,www.campingfesta.com
59,59,이벤트,2025,워터밤 서울 2025,2025.07.04~2025.07.06,2025-07-04,2025-07-06,"전시홀 9,전시홀 10",메이드온," ",070-7174-2432~,--,info@waterbombfestival.com,https://www.waterbombfestival.com/
60,60,전시회,2025,2025 국제안전보건전시회,2025.07.07~2025.07.10,2025-07-07,2025-07-10,"전시홀 7,전시홀 8",한국산업안전보건공단,(사)안전보호구협회/㈜경연전람		,02-785-4771~,--,sales@safetyshow.co.kr,www.safetyshow.co.kr
61,61,전시회,2025,2025 펫쇼코리아(하),2025.07.18~2025.07.20,2025-07-18,2025-07-20,전시홀 10,미래전람,미래전람,02-2238-0340~,02-2238-0348,pet_show@naver.com,https://www.pet-show.co.kr/
62,62,전시회,2025,2025 대한민국 국제 관광박람회,2025.07.18~2025.07.21,2025-07-18,2025-07-21,전시홀 7,대한민국 국제 관광박람회 조직위원회," ",02-3785-3905~,--,kits2016@daum.net,http://www.ktourismshow.com/
63,63,이벤트,2025,사운드베리 페스타&lsquo; 25,2025.07.19~2025.07.20,2025-07-19,2025-07-20,전시홀 9,㈜에스에이커뮤니케이션," ",02-761-2122~,--," ",https://www.instagram.com/soundberry_festa/
64,64,이벤트,2025,코믹월드 SUMMER 2025,2025.07.19~2025.07.20,2025-07-19,2025-07-20,"전시홀 2,전시홀 3,전시홀 4,전시홀 5",(주)코믹월드," ",02-6010-9536~,--,comic_w@naver.com,https://comicw.co.kr/
65,65,이벤트,2025,2025 프레드 어게인 내한공연,2025.07.23~2025.07.23,2025-07-23,2025-07-23,전시홀 10A," ","AEG Presents Asia, Collective Minds",010-7470-6482~,--,sansna4@gmail.com,https://tickets.interpark.com/goods/25007920
66,66,전시회,2025,2025 어린이 통합 안전 박람회,2025.07.24~2025.07.26,2025-07-24,2025-07-26,전시홀 7A,행정안전부," ",070-5101-1046~,--,safetyheroes@korea.kr," "
67,67,이벤트,2025,<2025 NOL 페스티벌 : SBS 가요대전 Summer>,2025.07.26~2025.07.28,2025-07-26,2025-07-28,"전시홀 1,전시홀 2,전시홀 3,전시홀 4",㈜스튜디오프리즘 제작사업부문," ",000-0000-0000~,--," ",gayo.sbs.co.kr
68,68,전시회,2025,2025 고양 우수중소기업&농수산물박람회,2025.07.31~2025.08.04,2025-07-31,2025-08-04,전시홀 1A,주식회사 마이스좋은공간,주식회사 마이스좋은공간,-1522-1564~,062-371-3512,good-space@naver.com,https://www.millionshow.kr/
69,69,이벤트,2025,원더 페스티벌 2025 코리아,2025.08.02~2025.08.03,2025-08-02,2025-08-03,전시홀 7,"원더페스티벌 한국 실행위원회 ",(주)오픈포털,02-6731-0050~,--,wonfes-info@openportalexpo.com,https://wonfes.kr/
70,70,전시회,2025,2025 코베 베이비페어&유아교육전,2025.08.07~2025.08.10,2025-08-07,2025-08-10,전시홀 10,주식회사 메쎄이상,주식회사 메쎄이상,02-6121-6458~,--,cobe@esgroup.net,www.cobe.co.kr
71,71,전시회,2025,2025 카페디저트페어,2025.08.13~2025.08.16,2025-08-13,2025-08-16,전시홀 7A,유아림," ",02-2236-2715~,--,cdf@yuarim.com,www.cafedessertfair.com
72,72,전시회,2025,2025 한국관상어산업박람회 및 품평회,2025.08.15~2025.08.17,2025-08-15,2025-08-17,전시홀 5,(사)한국관상어협회1,(사)한국관상어협회	,02-765-2079~,02-744-2079,hyeok@kafaco1992.co.kr,kafaco1992.co.kr
73,73,전시회,2025,K-PRINT 2025,2025.08.20~2025.08.23,2025-08-20,2025-08-23,"전시홀 7,전시홀 8A","한국이앤엑스, 대한인쇄문화협회"," ",02-551-0102~,02-551-0103,kprint@kprint.kr,https://kprint.kr/ko
74,74,전시회,2025,제69회 건축박람회 외(통합명칭),2025.08.21~2025.08.24,2025-08-21,2025-08-24,"전시홀 3,전시홀 4",(주)동아전람,(주)동아전람,02-780-0366~,02-780-0368,dongaf@naver.com,www.dong-afairs.co.kr
75,75,이벤트,2025,터치드 콘서트,2025.08.23~2025.08.24,2025-08-23,2025-08-24,전시홀 10,주식회사 엠피엠지뮤직,주식회사 엠피엠지,02-322-0014~,--,info_live@mpmg.co.kr,https://tickets.interpark.com/goods/25008888
76,76,전시회,2025,2025 차세대 분체산업전,2025.08.27~2025.08.29,2025-08-27,2025-08-29,전시홀 10B,㈜광륭,㈜광륭,02-599-1582~,02-599-1498,info@apowdertech.com,info@apowdertech.com
77,77,전시회,2025,제18회 폐기물·자원순환산업전(RETECH 2025),2025.08.27~2025.08.29,2025-08-27,2025-08-29,전시홀 10A,RETECH조직위원회,㈜광륭,02-599-1582~,--,info@re-tech.org,www.re-tech.org
78,78,전시회,2025,2025 한국국제가구 및 인테리어산업대전,2025.08.28~2025.08.31,2025-08-28,2025-08-31,"전시홀 7,전시홀 8,2전시장 로비 7-1",대한가구산업협동조합연합회1," ",031-991-5300~,031-363-3949,kofurn@kffic.kr,www.kofurn.or.kr
79,79,전시회,2025,2025년 사회리더 대학생 멘토링 리더십콘서트,2025.08.30~2025.08.30,2025-08-30,2025-08-30,전시홀 6,한국장학재단," ",-1599-2000~,--,lyc0529@markbe.co.kr,https://www.kosaf.go.kr/
80,80,이벤트,2025,메가필드뮤직페스티벌2025,2025.08.30~2025.08.31,2025-08-30,2025-08-31,"전시홀 4B,전시홀 5",주식회사 서드플래닛,주식회사 서드플래닛,02-2039-8145~,--,3third_planet@naver.com,https://www.instagram.com/megafield_musicfestival/
81,81,전시회,2025,2025 경기도교육청 직업계고 취창업박람회,2025.09.02~2025.09.03,2025-09-02,2025-09-03,전시홀 7B,경기도교육청,경기도교육청 취창업지원센터,031-820-9640~,--,shinwoo179@korea.kr,http://www.goe-jobfair.co.kr
82,82,전시회,2025,2025 대한민국 글로벌 소싱위크,2025.09.04~2025.09.05,2025-09-04,2025-09-05,전시홀 7A,중소벤처기업부,중소벤처기업진흥공단,02-6000-7754~7003,--,sourcingweek2024@gmail.com,https://mng.gobizkorea.com/sourcing/index.jsp
83,83,전시회,2025,마이펫페어 2025 일산 Part2,2025.09.05~2025.09.07,2025-09-05,2025-09-07,전시홀 10,주식회사 마이팀페어스," ",02-6204-3577~,02-6008-3545,mypetfair@naver.com,https://www.mypetfair.co.kr/
84,84,전시회,2025,2025 이차전지 소재 &middot; 부품 및 장비전(K-BATTERY),2025.09.10~2025.09.12,2025-09-10,2025-09-12,"전시홀 4,전시홀 5",㈜한국이앤엑스," ",02-551-0102~,02-551-0103,battery@kbatteryshow.com,www.kbatteryshow.com
85,85,전시회,2025,제5회 유통&middot;물류 및 공급망관리 산업전,2025.09.10~2025.09.12,2025-09-10,2025-09-12,전시홀 3,"㈜첨단, ㈜제이엔씨매쎄, ",(사)한국파렛트컨테이너협회,02-338-3454~,--,soyoung@hellot.net,www.scmfair.kr
86,86,전시회,2025,제2회 특화망 기술 산업전,2025.09.10~2025.09.12,2025-09-10,2025-09-12,전시홀 2,"㈜첨단, ㈜제이앤씨메쎄"," ",02-338-3454~,--,soyoung@hellot.net,www.pntfair.kr
87,87,전시회,2025,제1회 대한민국 산업단지 수출박람회,2025.09.10~2025.09.12,2025-09-10,2025-09-12,전시홀 1,"(사)한국산업단지경영자연합회, 한국산업단지공단, (사)글로벌선도기업협회, (주)첨단","한국산업단지공단, ㈜첨단		",02-338-3454~,--,jwjoo@hellot.net," "
88,88,전시회,2025,2025 K-뷰티엑스포 코리아,2025.09.11~2025.09.13,2025-09-11,2025-09-13,"전시홀 7,전시홀 8",킨텍스,"킨텍스, 코트라(수출상담회 주관)",031-995-8844~,031-995-8088,kbeautyexpo@kintex.com,www.kbeautyexpo.com	
89,89,이벤트,2025,코믹월드 324 일산,2025.09.13~2025.09.14,2025-09-13,2025-09-14,"전시홀 4,전시홀 5",(주)코믹월드," ",02-6010-9536~,--,comic_w@naver.com,https://comicw.co.kr/
90,90,전시회,2025,2025 대한민국 안전산업박람회,2025.09.17~2025.09.19,2025-09-17,2025-09-19,"전시홀 1,전시홀 2,전시홀 3","행정안전부, 경기도","킨텍스, 코트라, 동반성장위원회",031-995-8599~,--,se2404@kintex.com,https://k-safetyexpo.com
91,91,전시회,2025,2025 한국건설ㆍ안전박람회,2025.09.17~2025.09.19,2025-09-17,2025-09-19,전시홀 4,킨텍스,마이센터,031-995-8599~,--,se2404@kintex.com,https://www.k-consafetyexpo.com
92,92,전시회,2025,2025 경기국제웹툰페어,2025.09.18~2025.09.21,2025-09-18,2025-09-21,전시홀 5A,경기도,"경기콘텐츠진흥원, 킨텍스",031-995-8746~,--,webtoonfair@kintex.com,www.webtoonfair.com
93,93,전시회,2025,2025 궁디팡팡 캣페스타,2025.09.19~2025.09.21,2025-09-19,2025-09-21,전시홀 10,주식회사 캣페스타," ",02-6121-6326~,--,gdppcat@esgroup.net,https://gdppcat.com/
94,94,전시회,2025,2025 오토살롱테크코리아,2025.09.19~2025.09.21,2025-09-19,2025-09-21,전시홀 7,"국토교통부, 산업통상자원부","㈜서울메쎄, 카테크",02-2284-0019~,02-2284-0005,info@autosalonkorea.com,http://autosalonkorea.com/2025/
95,95,전시회,2025,2025 아시아 기계 & 제조산업전,2025.09.23~2025.09.26,2025-09-23,2025-09-26,"전시홀 2,전시홀 3",코아미 인포마마켓㈜," ",02-369-7800~,02-6278-0118,Dongwan.Kim@informa.com,https://amxpo.org/main/
96,96,전시회,2025,2025 K-GEO Festa,2025.09.24~2025.09.26,2025-09-24,2025-09-26,전시홀 5,국토교통부,"한국국토정보공사, 국토연구원, 공간정보품질관리원, 국가철도공단, 한국도로공사, 공간정보산업진흥원, 한국공간정보산업협회, 한국공간정보산업협동조합, 국토지리정보원",-1599-0001~,044-715-9500,kgeofesta@gmail.com,https://www.kgeofesta.kr/
97,97,전시회,2025,2025 월드 시티테크 엑스포,2025.09.24~2025.09.26,2025-09-24,2025-09-26,"전시홀 4,전시홀 5","경기주택도시공사, KINTEX","대한무역투자진흥공사(KOTRA), (사)한국스마트빌리지협회",031-995-8143~,--,citytech@kintex.com,www.worldcitytechexpo.com	
98,98,전시회,2025,2025 국제아웃도어캠핑&레포츠페스티벌 더 파이널 시즌 PART 1,2025.09.26~2025.09.28,2025-09-26,2025-09-28,"전시홀 7,전시홀 8",주식회사 메쎄이상," ",02-6121-6388~,--,caf@esgroup.net,www.caf.co.kr
99,99,전시회,2025,2025 코베 베이비페어&유아교육전,2025.10.16~2025.10.19,2025-10-16,2025-10-19,"전시홀 4A,전시홀 5A",주식회사 메쎄이상,주식회사 메쎄이상,02-6121-6458~,--,cobe@esgroup.net,www.cobe.co.kr
100,100,전시회,2025,제22회 국제모빌리티산업전,2025.10.22~2025.10.24,2025-10-22,2025-10-24,전시홀 4,"(재)아인글로벌, 대한무역투자진흥공사"," ",031-384-0301~,031-384-0302,domestic@koaashow.com,www.koaashow.com
101,101,전시회,2025,2025 국제도로교통박람회,2025.10.28~2025.10.30,2025-10-28,2025-10-30,전시홀 7A,"한국도로협회, 킨텍스"," ",031-995-8784~8946,--,rotrex@kintex.com,www.road-trafficshow.com
102,102,전시회,2025,2025 국제 공구 및 스마트 용접 자동화전,2025.10.28~2025.10.31,2025-10-28,2025-10-31,전시홀 2,"한국공구공업협동조합, 한국용접공업협동조합, 한국다이캐스트공업협동조합",한국공구공업협동조합,02-711-0989~,02-3272-5059,7110989@naver.com,www.tool-welding.com
103,103,전시회,2025,한국포장전 2025,2025.10.28~2025.10.31,2025-10-28,2025-10-31,"전시홀 7B,전시홀 8",월간 포장타임즈,월간 포장타임즈,031-758-2812~,--,hpshow@naver.com,www.hpack.org
104,104,전시회,2025,2025 소부장뿌리 기술대전,2025.10.29~2025.10.31,2025-10-29,2025-10-31,전시홀 1,산업통상자원부,"한국산업기술진흥원, 한국생산기술연구원, 한국산업기술기획평가원, 대한무역투자진흥공사, 한국소재부품장비투자기관협의회, 킨텍스",031-995-8763~,--,techinside@kintex.com,http://www.techinsideshow.kr
105,105,전시회,2025,금속산업대전 2025,2025.10.29~2025.10.31,2025-10-29,2025-10-31,전시홀 3,한국전람㈜," ",02-783-8261~,--,ktfairs@ktfairs.com,www.korea-metal.com
106,106,전시회,2025,제28회 대한민국우수상품전시회(G-FAIR KOREA 2025),2025.10.30~2025.11.01,2025-10-30,2025-11-01,"전시홀 4,전시홀 5",경기도,경기도경제과학진흥원,031-259-6531~4,--,gfair@gbsa.or.kr,gfair.or.kr
